text,transliterated,translated_text
paattinu entho athra feel kittunnilla valare eluppathil vere kure paattinte tune adichu matti undakiya pole thonunnu,പാത്തിനു ഏന്ഥോ അഥ്ര fീല് കിത്തുന്നില്ല വലരേ ഏലുപ്പഥില് വേരേ കുരേ പാത്തിന്തേ തുനേ അദിചു മത്തി ഉന്ദകിയ പോലേ ഥോനുന്നു,
ithokke comedy pole und aa bahubaliyude manam kalayo,ഇഥോക്കേ ചോമേദ്യ് പോലേ ഉന്ദ് ആ ബഹുബലിയുദേ മനമ് കലയോ,
13k dislike kodutha yethu mire adaaa,൧൩ക് ദിസ്ലികേ കോദുഥ യേഥു മിരേ അദാഅ,
ikkante eazhrikath varilla ikkante varunnu kunjali marakkar waiting ikka polikkum,ഇക്കന്തേ ഏഅഴ്രികഥ് വരില്ല ഇക്കന്തേ വരുന്നു കുന്ജലി മരക്കര് വൈതിന്ഗ് ഇക്ക പോലിക്കുമ്,
മൂക്കുത്തി കാണാനില്ലെങ്കിലും കക്ഷം ഇഷ്ടം പോലെ കാണാൻ ഉണ്ട് ഇതെന്ത് കക്ഷത്തിന്റെ സംസ്ഥാന സമ്മേളനമോ,മൂക്കുത്തി കാണാനില്ലെങ്കിലും കക്ഷം ഇഷ്ടം പോലെ കാണാൻ ഉണ്ട് ഇതെന്ത് കക്ഷത്തിന്റെ സംസ്ഥാന സമ്മേളനമോ,
poli poli poli am waiting,പോലി പോലി പോലി അമ് വൈതിന്ഗ്,
njan oru ikka fanannengilum lalettan onnam polikatte,ന്ജന് ഓരു ഇക്ക fനന്നേന്ഗിലുമ് ലലേത്തന് ഓന്നമ് പോലികത്തേ,
വിനീത് ശ്രീനിവാസൻ ഫാൻസ് ആരെങ്കിലും ഉണ്ടോ hit,വിനീത് ശ്രീനിവാസൻ ഫാൻസ് ആരെങ്കിലും ഉണ്ടോ ഹിത്,
padachone mammookante ee padom moonjunna lakshanamaanallo ithinoru avasaanamille,പദചോനേ മമ്മൂകന്തേ ഈ പദോമ് മൂന്ജുന്ന ലക്ശനമാനല്ലോ ഇഥിനോരു അവസാനമില്ലേ,
സിനിമ റീലിസിനു ശേഷം ഇന്നലെ ആണ് എന്നിക് സിനിമ കാണാൻ പറ്റിയത് ഒന്നും പറയാൻ ഇല്ല kidilam പടം സൂപ്പർ കോമഡി ഈ പടം കണ്ടിട്ടു adaar love എടുത്തു കത്തിച്ചു കളയാൻ ആണ് തോന്നുനെ വിനീത് sreenivasan പൊളി ചിരിച്ചു ഒരു parivam ആയി,സിനിമ റീലിസിനു ശേഷം ഇന്നലെ ആണ് എന്നിക് സിനിമ കാണാൻ പറ്റിയത് ഒന്നും പറയാൻ ഇല്ല കിദിലമ് പടം സൂപ്പർ കോമഡി ഈ പടം കണ്ടിട്ടു അദാര് ലോവേ എടുത്തു കത്തിച്ചു കളയാൻ ആണ് തോന്നുനെ വിനീത് സ്രീനിവസന് പൊളി ചിരിച്ചു ഒരു പരിവമ് ആയി,
ഈ പാട്ട് എല്ലാ ഭാഷയിലും കണ്ടും കേട്ടും ഇപ്പോൾ കൂടുതൽ ഇഷ്ടമായി ആദ്യം ഈ പാട്ട് കണ്ടപ്പോൾ എവിടെയോ ഒരു കുറവുള്ള പോലെ തോന്നിയിരുന്നു ഇപ്പോൾ സൂപ്പർ ഇനി ഈ നായികയെയോ പാട്ടിനെയോ പറ്റി കുറ്റം പറയുന്നവർക്ക് വെറുതെ പറഞ്ഞ് കൊണ്ടിരിക്കാം പിന്നെ ഞാൻ ഈ സിനിമക്ക് ടിക്കറ്റ് എടുക്കുന്നത് ധീരനും വീരനുമായ അച്യുതൻ എന്ന കുട്ടിയുടെ പ്രകടനം കാണാനാണ് പിന്നെ മമ്മൂക്കയും ഉണ്ണിമുകുന്ദനും പൊളിച്ചടുക്കും നവംബർ 21 ആകാൻ കാത്തിരിക്കുന്നു,ഈ പാട്ട് എല്ലാ ഭാഷയിലും കണ്ടും കേട്ടും ഇപ്പോൾ കൂടുതൽ ഇഷ്ടമായി ആദ്യം ഈ പാട്ട് കണ്ടപ്പോൾ എവിടെയോ ഒരു കുറവുള്ള പോലെ തോന്നിയിരുന്നു ഇപ്പോൾ സൂപ്പർ ഇനി ഈ നായികയെയോ പാട്ടിനെയോ പറ്റി കുറ്റം പറയുന്നവർക്ക് വെറുതെ പറഞ്ഞ് കൊണ്ടിരിക്കാം പിന്നെ ഞാൻ ഈ സിനിമക്ക് ടിക്കറ്റ് എടുക്കുന്നത് ധീരനും വീരനുമായ അച്യുതൻ എന്ന കുട്ടിയുടെ പ്രകടനം കാണാനാണ് പിന്നെ മമ്മൂക്കയും ഉണ്ണിമുകുന്ദനും പൊളിച്ചടുക്കും നവംബർ ൨൧ ആകാൻ കാത്തിരിക്കുന്നു,
mammokkayude madurarajakku shesham adutha super hit,മമ്മോക്കയുദേ മദുരരജക്കു ശേശമ് അദുഥ സുപേര് ഹിത്,
rajauda kalii enum keralam kannan pokunnaa olluu,രജൌദ കലീ ഏനുമ് കേരലമ് കന്നന് പോകുന്നാ ഓല്ലൂ,
ith dislike adicha polayadii makkalkk kunna namaskkaram,ഇഥ് ദിസ്ലികേ അദിച പോലയദീ മക്കല്ക്ക് കുന്ന നമസ്ക്കരമ്,
mammookka look and diolouge uff oru rakshayum illa,മമ്മൂക്ക ലൂക് അന്ദ് ദിഓലോഉഗേ ഉf്f് ഓരു രക്ശയുമ് ഇല്ല,
mammuka massan parayunavar like cheyyuga,മമ്മുക മസ്സന് പരയുനവര് ലികേ ചേയ്യുഗ,
lucifer inte munnil enthonn raaja ettan da,ലുചിfേര് ഇന്തേ മുന്നില് ഏന്ഥോന്ന് രാജ ഏത്തന് ദ,
മവനെ കൊല ഗാണ്ടിൽ ഇറുക്കെ കൊല്ലാമാ വിടമാട്ടെ,മവനെ കൊല ഗാണ്ടിൽ ഇറുക്കെ കൊല്ലാമാ വിടമാട്ടെ,
രവി സാറില്ലെക്കിൽ ഒരു രസവും ഇല്ല വിനീത് എട്ടൻ ഇഷ്ട്ടം,രവി സാറില്ലെക്കിൽ ഒരു രസവും ഇല്ല വിനീത് എട്ടൻ ഇഷ്ട്ടം,
പാട്ട് പോരാ ട്യൂൺ നന്നായില്ല,പാട്ട് പോരാ ട്യൂൺ നന്നായില്ല,
മൂക്കുത്തി എടുത്തത് ഉണ്ണി മുകുന്ദൻ ആണ് എന്ന് മനസിലാക്കി അത് പാടി പാടി അയാളുടെ കയ്യിൽ നിന്ന് മൂക്കുത്തി തിരിച്ചു മേടിക്കാൻ ഒള്ള ആ കുട്ടീടെ സൈക്കിൾഓടിക്കൽ മൂവ്,മൂക്കുത്തി എടുത്തത് ഉണ്ണി മുകുന്ദൻ ആണ് എന്ന് മനസിലാക്കി അത് പാടി പാടി അയാളുടെ കയ്യിൽ നിന്ന് മൂക്കുത്തി തിരിച്ചു മേടിക്കാൻ ഒള്ള ആ കുട്ടീടെ സൈക്കിൾഓടിക്കൽ മൂവ്,
uff romanjam kond irinaduth ninn njan enit ninn poyi,ഉf്f് രോമന്ജമ് കോന്ദ് ഇരിനദുഥ് നിന്ന് ന്ജന് ഏനിത് നിന്ന് പോയി,
ee shane te abhinayam kanumboya pranav mohanlalineyum dulqer salmaneyum eduth kinattil kalayan thonunath,ഈ ശനേ തേ അഭിനയമ് കനുമ്ബോയ പ്രനവ് മോഹന്ലലിനേയുമ് ദുല്qേര് സല്മനേയുമ് ഏദുഥ് കിനത്തില് കലയന് ഥോനുനഥ്,
kung fu class kazhiju vanna udane kandath orupad sandhoshm malayalam il oru kung fu movie,കുന്ഗ് fു ച്ലസ്സ് കഴിജു വന്ന ഉദനേ കന്ദഥ് ഓരുപദ് സന്ധോശ്മ് മലയലമ് ഇല് ഓരു കുന്ഗ് fു മോവിഏ,
ഒരു 2 nd ട്രെയിലർ വേണം ഇൗ വീഡിയോന്റെ thumbnailum മാറ്റൂ ട്രെയിലർ മോശം ആക്കിയെങ്കിലും പടം സൂപ്പർഹിറ്റ് ആയ റൺ ബേബി റൺ പോലേയവനെ ഇൗ സിനിമയും എന്ന് ആഗ്രഹിക്കുന്നുലാലേട്ടൻ,ഒരു ൨ ന്ദ് ട്രെയിലർ വേണം ഇൗ വീഡിയോന്റെ ഥുമ്ബ്നൈലുമ് മാറ്റൂ ട്രെയിലർ മോശം ആക്കിയെങ്കിലും പടം സൂപ്പർഹിറ്റ് ആയ റൺ ബേബി റൺ പോലേയവനെ ഇൗ സിനിമയും എന്ന് ആഗ്രഹിക്കുന്നുലാലേട്ടൻ,
ഈ തടിയനെ വെച്ചേ ആരെങ്കിലും പടം എടുക്കോ,ഈ തടിയനെ വെച്ചേ ആരെങ്കിലും പടം എടുക്കോ,
oooohhhh oru rakshayum illaaaa pwolii poppwoliiii ingalaan thaaram,ഊഊഹ്ഹ്ഹ്ഹ് ഓരു രക്ശയുമ് ഇല്ലാആ പ്വോലീ പോപ്പ്വോലീഈ ഇന്ഗലാന് ഥാരമ്,
you tube hang ayo 34k views change avunnilalo,യോഉ തുബേ ഹന്ഗ് അയോ ൩൪ക് വിഏവ്സ് ചന്ഗേ അവുന്നിലലോ,
ഈ കുട്ടീടെ മൂക്കുത്തി ആരേലും എടുത്തിട്ടുണ്ടേൽ കൊടുത്തേക്ക്,ഈ കുട്ടീടെ മൂക്കുത്തി ആരേലും എടുത്തിട്ടുണ്ടേൽ കൊടുത്തേക്ക്,
eattante pooram kazhinjaal ikkayude kodiyett lalettanum mammookkaykkum pakaram vekkaaan aaarumillaaaa,ഏഅത്തന്തേ പൂരമ് കഴിന്ജാല് ഇക്കയുദേ കോദിയേത്ത് ലലേത്തനുമ് മമ്മൂക്കയ്ക്കുമ് പകരമ് വേക്കാഅന് ആഅരുമില്ലാആ,
10m view akkan try cheyyunnavar like adi,൧൦മ് വിഏവ് അക്കന് ത്ര്യ് ചേയ്യുന്നവര് ലികേ അദി,
പടം ഇറങ്ങുന്നതിന് മുൻപ് തന്നേ ഞങ്ങൾ പറയും സൂപ്പർ ഹിറ്റ്,പടം ഇറങ്ങുന്നതിന് മുൻപ് തന്നേ ഞങ്ങൾ പറയും സൂപ്പർ ഹിറ്റ്,
rafeeq ahammed enna kavikk engane ingane oru paatt ezhudhan thonni atleast ee pennungale mookkuthi edth ozhivaakkeeett dance cheyaamarnnu,രfീq് അഹമ്മേദ് ഏന്ന കവിക്ക് ഏന്ഗനേ ഇന്ഗനേ ഓരു പാത്ത് ഏഴുധന് ഥോന്നി അത്ലേഅസ്ത് ഈ പേന്നുന്ഗലേ മൂക്കുഥി ഏദ്ഥ് ഓഴിവാക്കീഏത്ത് ദന്ചേ ചേയാമര്ന്നു,
mammookka ithelum mass aayi big b il varunnund ith verum sample,മമ്മൂക്ക ഇഥേലുമ് മസ്സ് ആയി ബിഗ് ബ് ഇല് വരുന്നുന്ദ് ഇഥ് വേരുമ് സമ്പ്ലേ,
പടം പൊട്ടി പന്നാ സാവും ടൈലർ ഒന്നിനും കൊള്ളില്ല ഒരു സംഭവവും അ ട്രാക്റ്റീവല്ല ഒരു മാതിരി പെരുച്ചാഴി സിനിമക്ക് ഡ്രാമ സിനിമയിലുണ്ടായ പോലൊരു തൊട്ടിപ്പടം,പടം പൊട്ടി പന്നാ സാവും ടൈലർ ഒന്നിനും കൊള്ളില്ല ഒരു സംഭവവും അ ട്രാക്റ്റീവല്ല ഒരു മാതിരി പെരുച്ചാഴി സിനിമക്ക് ഡ്രാമ സിനിമയിലുണ്ടായ പോലൊരു തൊട്ടിപ്പടം,
അവകാശ വാദങ്ങൾ ഒന്നും തന്നെ ഇല്ല പുതുമുഖ സംവിധായകർ ആണ് ലൂസിഫർ പോലെ മുഴുനീള മാസ്സ് ആക്ഷൻ രംഗങ്ങൾ ഇല്ല പക്ഷെ ഒന്ന് ഞങ്ങൾക്ക് ഉറപ്പാണ് അഭിനയം കാരണം നായകന്റെ പേര് മോഹൻലാൽ ലാലേട്ടൻ എന്നാണ് അഭിനയിക്കാൻ പറഞ്ഞാൽ ജീവിച്ച് കാണിക്കുന്ന ഐറ്റം,അവകാശ വാദങ്ങൾ ഒന്നും തന്നെ ഇല്ല പുതുമുഖ സംവിധായകർ ആണ് ലൂസിഫർ പോലെ മുഴുനീള മാസ്സ് ആക്ഷൻ രംഗങ്ങൾ ഇല്ല പക്ഷെ ഒന്ന് ഞങ്ങൾക്ക് ഉറപ്പാണ് അഭിനയം കാരണം നായകന്റെ പേര് മോഹൻലാൽ ലാലേട്ടൻ എന്നാണ് അഭിനയിക്കാൻ പറഞ്ഞാൽ ജീവിച്ച് കാണിക്കുന്ന ഐറ്റം,
ഈ ട്രെയിലർ എത്രാമത്തെ തവണയാണ് കാണണേന്ന് ഒരു പിടീം ഇല്ലാ ഒരു രക്ഷേം ഇല്ലാട്ട,ഈ ട്രെയിലർ എത്രാമത്തെ തവണയാണ് കാണണേന്ന് ഒരു പിടീം ഇല്ലാ ഒരു രക്ഷേം ഇല്ലാട്ട,
ജസ്ലയെ കളിയാക്കാൻ ഫിറോസ് ക ഇറക്കിയ പാട്ടാണെന്നു ആരും പറയാത്തത് ഭാഗ്യം,ജസ്ലയെ കളിയാക്കാൻ ഫിറോസ് ക ഇറക്കിയ പാട്ടാണെന്നു ആരും പറയാത്തത് ഭാഗ്യം,
kelkuthorum estam kudi kudi varuund pattinod,കേല്കുഥോരുമ് ഏസ്തമ് കുദി കുദി വരൂന്ദ് പത്തിനോദ്,
മൂത്തൊൻ പെടക്കും നിവിൻ മുത്തേ ഇത് ഒരു ഒന്നൊന്നര സ്റ്റോറി ആണ് അങ്ങ് ദൂരെ ലക്ഷദീപ് ൽ,മൂത്തൊൻ പെടക്കും നിവിൻ മുത്തേ ഇത് ഒരു ഒന്നൊന്നര സ്റ്റോറി ആണ് അങ്ങ് ദൂരെ ലക്ഷദീപ് ൽ,
raja alla devil devil king lucifer,രജ അല്ല ദേവില് ദേവില് കിന്ഗ് ലുചിfേര്,
ബാബു നമ്പൂതിരി അങ്ങേര് എടുത്തു കാണും,ബാബു നമ്പൂതിരി അങ്ങേര് എടുത്തു കാണും,
രണ്ട് പടം പൊട്ടിയാൽ തീരുന്നതാണ് producer കലാകാരനു അവൻ ജീവിക്കുന്ന കാലത്തോളം അവന്റെ കഴിവ് കൂടെയുണ്ടാകും അതു മതി മുന്നോട്ട് കുതിക്കുവാൻ,രണ്ട് പടം പൊട്ടിയാൽ തീരുന്നതാണ് പ്രോദുചേര് കലാകാരനു അവൻ ജീവിക്കുന്ന കാലത്തോളം അവന്റെ കഴിവ് കൂടെയുണ്ടാകും അതു മതി മുന്നോട്ട് കുതിക്കുവാൻ,
ഡീഗ്രേഡ് ചെയ്തവരുടെ അണ്ണാക്കിലേക്ക് ഉള്ള ഐറ്റം കോളനി വാണങ്ങൽ കേട്ടോടാ,ഡീഗ്രേഡ് ചെയ്തവരുടെ അണ്ണാക്കിലേക്ക് ഉള്ള ഐറ്റം കോളനി വാണങ്ങൽ കേട്ടോടാ,
avasanthe thalaivaa vili pinne aah fight hywaaahh polichadukki,അവസന്ഥേ ഥലൈവാ വിലി പിന്നേ ആഹ് fിഘ്ത് ഹ്യ്വാഅഹ്ഹ് പോലിചദുക്കി,
moopar ottakka vannad ottak thanne kond povum raja,മൂപര് ഓത്തക്ക വന്നദ് ഓത്തക് ഥന്നേ കോന്ദ് പോവുമ് രജ,
laletan and mamookaa fan katta waiting for madhuraraja,ലലേതന് അന്ദ് മമൂകാ fന് കത്ത വൈതിന്ഗ് fോര് മധുരരജ,
haters noke kurachu kanjii edukatte pakkaa mass,ഹതേര്സ് നോകേ കുരചു കന്ജീ ഏദുകത്തേ പക്കാ മസ്സ്,
ethanoo trailer kandapalla enta ammoo bhodam poyi padam moonjiyaa,ഏഥനൂ ത്രൈലേര് കന്ദപല്ല ഏന്ത അമ്മൂ ഭോദമ് പോയി പദമ് മൂന്ജിയാ,
kidu marana mas verithanam kidukki trailer kidu nivin annan polikkum,കിദു മരന മസ് വേരിഥനമ് കിദുക്കി ത്രൈലേര് കിദു നിവിന് അന്നന് പോലിക്കുമ്,
mohanlal chettan tovino lalletande aniyan ee combination iniyum kannan agraham ullavar like adiche,മോഹന്ലല് ചേത്തന് തോവിനോ ലല്ലേതന്ദേ അനിയന് ഈ ചോമ്ബിനതിഓന് ഇനിയുമ് കന്നന് അഗ്രഹമ് ഉല്ലവര് ലികേ അദിചേ,
njan oru selfi edukkum ekkkade kooda ninnu,ന്ജന് ഓരു സേല്fി ഏദുക്കുമ് ഏക്ക്കദേ കൂദ നിന്നു,
ntammo ikka pwolichu padam kidu aayirikkum,ന്തമ്മോ ഇക്ക പ്വോലിചു പദമ് കിദു ആയിരിക്കുമ്,
ഇട്ടിമാണിക്ക് രാജുവേട്ടന് ഫാന് സിന്റെ എല്ലാവിധ ആശംസകളും നേരുന്നു,ഇട്ടിമാണിക്ക് രാജുവേട്ടന് ഫാന് സിന്റെ എല്ലാവിധ ആശംസകളും നേരുന്നു,
toveee ichayo trailer kandu aaake excitement adichu irikkuva film ethrayum vegham theater lu ethiyengil,തോവീഏ ഇചയോ ത്രൈലേര് കന്ദു ആഅകേ ഏക്ഷ്ചിതേമേന്ത് അദിചു ഇരിക്കുവ fില്മ് ഏഥ്രയുമ് വേഘമ് ഥേഅതേര് ലു ഏഥിയേന്ഗില്,
കലാഭവൻ മണി അവസാനമായി പാടി അഭിനയിച്ച വീഡിയോ ആൽബം കോളിളക്കം,കലാഭവൻ മണി അവസാനമായി പാടി അഭിനയിച്ച വീഡിയോ ആൽബം കോളിളക്കം,
royal mech yenda college il mechanical la penn undu,രോയല് മേച് യേന്ദ ചോല്ലേഗേ ഇല് മേചനിചല് ല പേന്ന് ഉന്ദു,
ഹൗ എന്റെ പൊന്നോ വല്ലാത്തൊരു വോയ് സായി പോയി എന്റെ തല കറങ്ങുന്നു,ഹൗ എന്റെ പൊന്നോ വല്ലാത്തൊരു വോയ് സായി പോയി എന്റെ തല കറങ്ങുന്നു,
release ee nrc cab athokke theernnitt matheettaa ennitt beno mmakk oru 200cr adikaan,രേലേഅസേ ഈ ന്ര്ച് ചബ് അഥോക്കേ ഥീര്ന്നിത്ത് മഥീത്താ ഏന്നിത്ത് ബേനോ മ്മക്ക് ഓരു ൨൦൦ച്ര് അദികാന്,
website channel,വേബ്സിതേ ചന്നേല്,
0 48 nammude pubg slr nu vendi oru like adi,൦ ൪൮ നമ്മുദേ പുബ്ഗ് സ്ല്ര് നു വേന്ദി ഓരു ലികേ അദി,
മെഗാസ്റ്റാറിനു സ്റ്റേറ്റ് അവാർഡും നാഷണൽ അവാർഡും മേടിച്ചു കൊടുത്തത് സാധാരണ സിനിമകളിലെ സാധാരണക്കാരന്റെ റോളിനാണ് ഈ സിനിമ അടുത്ത ദേശീയ ചലച്ചിത്ര ഉത്സവത്തിൽ പരാമർശിക്കപെടാൻ പോവുകയെങ്കിൽ നിവിന് ഒരു പ്രതേക ജൂറി പുരസ്കാരമെങ്കിലും കൊടുക്കണം,മെഗാസ്റ്റാറിനു സ്റ്റേറ്റ് അവാർഡും നാഷണൽ അവാർഡും മേടിച്ചു കൊടുത്തത് സാധാരണ സിനിമകളിലെ സാധാരണക്കാരന്റെ റോളിനാണ് ഈ സിനിമ അടുത്ത ദേശീയ ചലച്ചിത്ര ഉത്സവത്തിൽ പരാമർശിക്കപെടാൻ പോവുകയെങ്കിൽ നിവിന് ഒരു പ്രതേക ജൂറി പുരസ്കാരമെങ്കിലും കൊടുക്കണം,
പൈറേറ്റ്സ് ഓഫ് ദി കരീബിയൻ മലയാളികളും കാണാറുണ്ടെന്ന് ഓർത്താൽ നന്ന്,പൈറേറ്റ്സ് ഓഫ് ദി കരീബിയൻ മലയാളികളും കാണാറുണ്ടെന്ന് ഓർത്താൽ നന്ന്,
എനിക്ക് ഇഷ്ടമായ സെൻ തത്തമ്മ പച്ച ആക്ഷ നില,എനിക്ക് ഇഷ്ടമായ സെൻ തത്തമ്മ പച്ച ആക്ഷ നില,
bgm എവിടെ ഒക്കെയോ രാക്ഷസൻ bgm കേറിവരുന്നു നിങ്ങൾക്കു തോന്നിയോ,ബ്ഗ്മ് എവിടെ ഒക്കെയോ രാക്ഷസൻ ബ്ഗ്മ് കേറിവരുന്നു നിങ്ങൾക്കു തോന്നിയോ,
mammuka fans wish here happy birthday mammukaaa,മമ്മുക fന്സ് വിശ് ഹേരേ ഹപ്പ്യ് ബിര്ഥ്ദയ് മമ്മുകാഅ,
ഇതാണോ നിന്റെ പുകയില്ലാത്ത അടുപ്പു ദേ ഞാൻ അങ്ങോട്ട് നോക്കി നിക്കാം നീ എന്നെ ഒന്ന് ചേട്ടാ എന്ന് വിളിക്കു എന്തൊരു പ്രഹസനം ആണെടോ ഈ പഞ്ചായത്തിൽ ഏറ്റവും മോശം വീടിതാണ് യേശു നമ്മക്കറിയാത്ത ആളൊന്നും അല്ലാലോ,ഇതാണോ നിന്റെ പുകയില്ലാത്ത അടുപ്പു ദേ ഞാൻ അങ്ങോട്ട് നോക്കി നിക്കാം നീ എന്നെ ഒന്ന് ചേട്ടാ എന്ന് വിളിക്കു എന്തൊരു പ്രഹസനം ആണെടോ ഈ പഞ്ചായത്തിൽ ഏറ്റവും മോശം വീടിതാണ് യേശു നമ്മക്കറിയാത്ത ആളൊന്നും അല്ലാലോ,
onnum angadu pidikityilaa enalum ithu nala oru padam aanennu viswasikunu,ഓന്നുമ് അന്ഗദു പിദികിത്യിലാ ഏനലുമ് ഇഥു നല ഓരു പദമ് ആനേന്നു വിസ്വസികുനു,
ഒരു ലിജോ പെല്ലിശ്ശേരി ടച്ച് തോന്നിയത് എനിക്ക് മാത്രമാണോ,ഒരു ലിജോ പെല്ലിശ്ശേരി ടച്ച് തോന്നിയത് എനിക്ക് മാത്രമാണോ,
ഇപ്പോൾ മലയാളത്തിൽ നല്ലൊരു പാട്ട് കേൾക്കണമെങ്കിൽ അങ്ങ് ബംഗാളിൽ നിന്നും ശ്രേയ ഘോഷാൽ തന്നെ ഇങ്ങു വരണം കിടിലൻ സോങ്,ഇപ്പോൾ മലയാളത്തിൽ നല്ലൊരു പാട്ട് കേൾക്കണമെങ്കിൽ അങ്ങ് ബംഗാളിൽ നിന്നും ശ്രേയ ഘോഷാൽ തന്നെ ഇങ്ങു വരണം കിടിലൻ സോങ്,
adutha kettu manakunu anu sitara kavya madavante clone alle ee koode abinekunevark onm oru tulli ulup tonille avo,അദുഥ കേത്തു മനകുനു അനു സിതര കവ്യ മദവന്തേ ച്ലോനേ അല്ലേ ഈ കൂദേ അബിനേകുനേവര്ക് ഓന്മ് ഓരു തുല്ലി ഉലുപ് തോനില്ലേ അവോ,
rajaede pilllar strong anell ettante pillerrr strongoo strong,രജഏദേ പില്ല്ലര് സ്ത്രോന്ഗ് അനേല്ല് ഏത്തന്തേ പില്ലേര്ര്ര് സ്ത്രോന്ഗൂ സ്ത്രോന്ഗ്,
വെറും രാജുവും സുരാജുവും ഇത്തവണ തീ പാറിക്കും,വെറും രാജുവും സുരാജുവും ഇത്തവണ തീ പാറിക്കും,
പെയിൻറിംഗ്അറിവുകൾ ഞങ്ങളുടെ ചാനൽ സന്ദർശിക്കുക അതുപോലെ സബ്സ്ക്രൈബ് ചെയ്യാമോ,പെയിൻറിംഗ്അറിവുകൾ ഞങ്ങളുടെ ചാനൽ സന്ദർശിക്കുക അതുപോലെ സബ്സ്ക്രൈബ് ചെയ്യാമോ,
മൂക്കൂത്തി എന്ന ഗാനം വളരെ പഴയ ഒരു കലാരൂപം ആണ് മോഹിനിയാട്ടം നൃത്ത ചരിത്രം പരിശോധിച്ചാൽ അറിയാം,മൂക്കൂത്തി എന്ന ഗാനം വളരെ പഴയ ഒരു കലാരൂപം ആണ് മോഹിനിയാട്ടം നൃത്ത ചരിത്രം പരിശോധിച്ചാൽ അറിയാം,
powlichuu but making video ethangalam kolam mayernnu,പോവ്ലിചൂ ബുത് മകിന്ഗ് വിദേഓ ഏഥന്ഗലമ് കോലമ് മയേര്ന്നു,
minister raja il prathviraj nn include cheyu plzzzz,മിനിസ്തേര് രജ ഇല് പ്രഥ്വിരജ് ന്ന് ഇന്ച്ലുദേ ചേയു പ്ല്z്z്z്z്,
ഇജ്ജാതി പ്രേകടനം മഞ്ജു ചേച്ചി,ഇജ്ജാതി പ്രേകടനം മഞ്ജു ചേച്ചി,
ദാരിദ്യ്രം പിടിച്ച ഡയലോഗും bgm ഉം,ദാരിദ്യ്രം പിടിച്ച ഡയലോഗും ബ്ഗ്മ് ഉം,
trailer ഇറങ്ങി 1 മണിക്കൂറിൽ lady superstar പടത്തിനു 45 k views driving licence 20 k മാത്രം മഞ്ജു ചേച്ചി,ത്രൈലേര് ഇറങ്ങി ൧ മണിക്കൂറിൽ ലദ്യ് സുപേര്സ്തര് പടത്തിനു ൪൫ ക് വിഏവ്സ് ദ്രിവിന്ഗ് ലിചേന്ചേ ൨൦ ക് മാത്രം മഞ്ജു ചേച്ചി,
ഹിറ്റ് കഴിഞ്ഞാൽ പടം പൊട്ടിക്കണമെന്ന് വല്ല നേർച്ചയും ഉണ്ടോ സിദ്ദിഖിന്റെ കാലമൊക്കെ കഴിഞ്ഞു,ഹിറ്റ് കഴിഞ്ഞാൽ പടം പൊട്ടിക്കണമെന്ന് വല്ല നേർച്ചയും ഉണ്ടോ സിദ്ദിഖിന്റെ കാലമൊക്കെ കഴിഞ്ഞു,
motham illuminaandi aanallo ini ithaano original abram kureshi,മോഥമ് ഇല്ലുമിനാന്ദി ആനല്ലോ ഇനി ഇഥാനോ ഓരിഗിനല് അബ്രമ് കുരേശി,
വന്നില്ലലോ വന്നില്ലലോ എന്ന് വിചാരിച്ച് ഇരുന്നെ ഒള്ളു,വന്നില്ലലോ വന്നില്ലലോ എന്ന് വിചാരിച്ച് ഇരുന്നെ ഒള്ളു,
super trailer ഫാമിലിക്കും കുട്ടികൾക്കും ഇഷ്ടമാകും ഉറപ്പ്,സുപേര് ത്രൈലേര് ഫാമിലിക്കും കുട്ടികൾക്കും ഇഷ്ടമാകും ഉറപ്പ്,
ithu oru padamayirikum action orupadu vyethasetha ulla oru film ayirikum,ഇഥു ഓരു പദമയിരികുമ് അച്തിഓന് ഓരുപദു വ്യേഥസേഥ ഉല്ല ഓരു fില്മ് അയിരികുമ്,
andhoru rasanne ee manushyan ee prayathilum,അന്ധോരു രസന്നേ ഈ മനുശ്യന് ഈ പ്രയഥിലുമ്,
ith kandappo pulimurugan ormavannavar like adi,ഇഥ് കന്ദപ്പോ പുലിമുരുഗന് ഓര്മവന്നവര് ലികേ അദി,
പൊന്നു ഉണ്ണി മുകുന്ദാ ആ മൂക്കുത്തി എടുത്തിട്ടുണ്ടെങ്കിൽ വേഗം തിരിച്ച കൊടുക്ക് കൊറേ നേരമായല്ലോ ആ പെണ്ണ് ചോദിക്കുന്നു നമുക്കു വേറെ വാങ്ങാം,പൊന്നു ഉണ്ണി മുകുന്ദാ ആ മൂക്കുത്തി എടുത്തിട്ടുണ്ടെങ്കിൽ വേഗം തിരിച്ച കൊടുക്ക് കൊറേ നേരമായല്ലോ ആ പെണ്ണ് ചോദിക്കുന്നു നമുക്കു വേറെ വാങ്ങാം,
എന്റെ പൊന്നെ ഒരു രക്ഷയും ഇല്ലാ അടാർ ഐറ്റം,എന്റെ പൊന്നെ ഒരു രക്ഷയും ഇല്ലാ അടാർ ഐറ്റം,
vineeth srinivasan ahaa otta peru mathe vere onnum vendaa,വിനീഥ് സ്രിനിവസന് അഹാ ഓത്ത പേരു മഥേ വേരേ ഓന്നുമ് വേന്ദാ,
